input,defsol,expandeddef,frontierdef,deftime,mhdsol,expandedmhd,frontiermhd,mhdtime,samesol
"(6, 3, 1, 2, 5, 4, 0)","['ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",315,218,0.01209568977355957,"['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",595,332,0.03927111625671387,False
"(4, 6, 3, 2, 5, 1, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",124,94,0.002567291259765625,"['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",162,114,0.004393100738525391,True
"(1, 6, 4, 3, 2, 5, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1']",164,124,0.004021644592285156,"['ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",113,84,0.0027458667755126953,False
"(3, 1, 6, 2, 5, 4, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",1123,458,0.12091827392578125,"['ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",589,340,0.03864693641662598,False
"(2, 4, 3, 1, 6, 5, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2']",401,270,0.019068002700805664,"['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2']",269,173,0.010030269622802734,True
"(3, 2, 6, 1, 4, 5, 0)","['ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",33,27,0.0004024505615234375,"['ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",25,20,0.0004107952117919922,True
"(3, 6, 1, 4, 5, 2, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1']",53,42,0.000774383544921875,"['ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1']",14,12,0.00026988983154296875,True
"(4, 3, 2, 1, 5, 6, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1']",304,205,0.011176347732543945,"['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",221,143,0.007863998413085938,False
"(5, 1, 3, 4, 2, 6, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1']",304,216,0.011697053909301758,"['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",294,177,0.011042594909667969,False
"(4, 2, 3, 1, 5, 6, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",49,36,0.0006837844848632812,"['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",33,23,0.0011053085327148438,False
"(5, 3, 2, 6, 4, 1, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",465,311,0.025107383728027344,"['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",370,237,0.017998695373535156,True
"(4, 3, 5, 1, 2, 6, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2']",82,61,0.00234222412109375,"['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2']",137,93,0.003611326217651367,True
"(4, 3, 5, 1, 6, 2, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",521,340,0.033049821853637695,"['ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",275,189,0.010967016220092773,True
"(2, 5, 6, 4, 3, 1, 0)","['ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",215,161,0.006475210189819336,"['ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",93,73,0.0020956993103027344,False
"(1, 4, 3, 5, 6, 2, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1']",56,44,0.0008225440979003906,"['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1']",96,69,0.0024559497833251953,True
"(3, 1, 5, 2, 6, 4, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",86,69,0.0015108585357666016,"['ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1']",203,152,0.006518363952636719,True
"(5, 3, 2, 4, 1, 6, 0)","['ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1']",294,200,0.011048316955566406,"['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",441,267,0.02388763427734375,False
"(1, 2, 6, 5, 4, 3, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",199,149,0.005387067794799805,"['ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",114,83,0.0030333995819091797,False
"(5, 6, 3, 4, 2, 1, 0)","['ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",916,425,0.08582830429077148,"['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",213,155,0.007322072982788086,False
"(3, 4, 1, 6, 5, 2, 0)","['ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1']",365,249,0.01582622528076172,"['ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW2']",214,142,0.007283449172973633,False
"(6, 4, 5, 1, 3, 2, 0)","['ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW1']",303,225,0.011836528778076172,"['ROW1', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW1', 'ROW2', 'ROW2', 'ROW1', 'ROW1', 'ROW2', 'ROW2', 'ROW2', 'ROW1', 'ROW2', 'ROW2']",168,129,0.0051805973052978516,False
"(3, 1, 2, 6, 4, 5, 0)","['ROW1', 'ROW1', 'ROW2', 'ROW2']",5,5,5.91278076171875e-05,"['ROW1', 'ROW1', 'ROW2', 'ROW2']",7,6,0.000270843505859375,True
